SKU,QtdEstoque,DataSnapshot,Laboratorio
24009,0,20/01/2026,BH Shopping
24010,0,20/01/2026,BH Shopping
24011,2,20/01/2026,BH Shopping
24012,0,20/01/2026,BH Shopping
24013,0,20/01/2026,BH Shopping
24014,1,20/01/2026,BH Shopping
24015,0,20/01/2026,BH Shopping
24016,1,20/01/2026,BH Shopping
24017,0,20/01/2026,BH Shopping
24018,1,20/01/2026,BH Shopping
24019,0,20/01/2026,BH Shopping
24021,0,20/01/2026,BH Shopping
24022,1,20/01/2026,BH Shopping
24023,1,20/01/2026,BH Shopping
24024,0,20/01/2026,BH Shopping
24025,1,20/01/2026,BH Shopping
24026,1,20/01/2026,BH Shopping
24027,2,20/01/2026,BH Shopping
24028,0,20/01/2026,BH Shopping
24029,3,20/01/2026,BH Shopping
24030,1,20/01/2026,BH Shopping
24031,2,20/01/2026,BH Shopping
24032,0,20/01/2026,BH Shopping
24033,3,20/01/2026,BH Shopping
24036,1,20/01/2026,BH Shopping
24037,0,20/01/2026,BH Shopping
24100,0,20/01/2026,BH Shopping
24101,2,20/01/2026,BH Shopping
24102,2,20/01/2026,BH Shopping
24103,2,20/01/2026,BH Shopping
24104,1,20/01/2026,BH Shopping
24105,3,20/01/2026,BH Shopping
24106,3,20/01/2026,BH Shopping
24107,2,20/01/2026,BH Shopping
24108,3,20/01/2026,BH Shopping
24109,4,20/01/2026,BH Shopping
24110,6,20/01/2026,BH Shopping
24111,2,20/01/2026,BH Shopping
24112,2,20/01/2026,BH Shopping
24113,2,20/01/2026,BH Shopping
24115,3,20/01/2026,BH Shopping
24116,2,20/01/2026,BH Shopping
24117,2,20/01/2026,BH Shopping
24118,3,20/01/2026,BH Shopping
24119,3,20/01/2026,BH Shopping
24120,1,20/01/2026,BH Shopping
24121,3,20/01/2026,BH Shopping
24122,3,20/01/2026,BH Shopping
24123,0,20/01/2026,BH Shopping
24124,0,20/01/2026,BH Shopping
24125,0,20/01/2026,BH Shopping
24126,2,20/01/2026,BH Shopping
24127,2,20/01/2026,BH Shopping
24128,0,20/01/2026,BH Shopping
24129,2,20/01/2026,BH Shopping
24130,0,20/01/2026,BH Shopping
24131,0,20/01/2026,BH Shopping
24134,0,20/01/2026,BH Shopping
24135,2,20/01/2026,BH Shopping
24136,3,20/01/2026,BH Shopping
24137,3,20/01/2026,BH Shopping
24140,2,20/01/2026,BH Shopping
24142,2,20/01/2026,BH Shopping
24149,0,20/01/2026,BH Shopping
24154,0,20/01/2026,BH Shopping
